Resort Hotel,Offline TA/TO,6334
Resort Hotel,Complementary,168
Resort Hotel,Groups,3362
Resort Hotel,Online TA,11481
Resort Hotel,Direct,5635
Resort Hotel,Corporate,1958
City Hotel,Offline TA/TO,9574
City Hotel,Complementary,478
City Hotel,Aviation,185
City Hotel,Groups,4352
City Hotel,Online TA,24257
City Hotel,Direct,5037
City Hotel,Corporate,2345
