City Hotel,Corporate,2622
City Hotel,TA/TO,37902
City Hotel,Direct,5548
City Hotel,GDS,156
Resort Hotel,,1
Resort Hotel,Corporate,2581
Resort Hotel,TA/TO,19816
Resort Hotel,Direct,6540
