City Hotel,Transient,32306
City Hotel,Contract,1195
City Hotel,Transient-Party,12463
City Hotel,Group,264
Resort Hotel,Transient,20793
Resort Hotel,Contract,1619
Resort Hotel,Transient-Party,6272
Resort Hotel,Group,254
